"filename", "language", "JavaScript", "Vue", "CSS", "JSON", "Django HTML", "JSON with Comments", "comment", "blank", "total"
"e:\project\multi_outcome\frontend\PC_5_top_with_edges_nodes_3outcomes.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 8, 54
"e:\project\multi_outcome\frontend\dagre-d3.min.js", "JavaScript", 1035, 0, 0, 0, 0, 0, 3781, 0, 4816
"e:\project\multi_outcome\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 9, 12, 0, 21
"e:\project\multi_outcome\frontend\package-lock.json", "JSON", 0, 0, 0, 22396, 0, 0, 0, 1, 22397
"e:\project\multi_outcome\frontend\package.json", "JSON", 0, 0, 0, 74, 0, 0, 0, 1, 75
"e:\project\multi_outcome\frontend\public\index.html", "Django HTML", 0, 0, 0, 0, 47, 0, 0, 8, 55
"e:\project\multi_outcome\frontend\public\jquery.tipsy.js", "JavaScript", 223, 0, 0, 0, 0, 0, 24, 41, 288
"e:\project\multi_outcome\frontend\public\tipsy.css", "CSS", 0, 0, 105, 0, 0, 0, 4, 16, 125
"e:\project\multi_outcome\frontend\src\App.vue", "Vue", 0, 51, 0, 0, 0, 0, 6, 4, 61
"e:\project\multi_outcome\frontend\src\babel.config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 11, 1, 27
"e:\project\multi_outcome\frontend\src\componentsInteraction\bus.js", "JavaScript", 2, 0, 0, 0, 0, 0, 14, 5, 21
"e:\project\multi_outcome\frontend\src\components\AppHeader.vue", "Vue", 0, 13, 0, 0, 0, 0, 5, 3, 21
"e:\project\multi_outcome\frontend\src\components\AppMainCharacter.vue", "Vue", 0, 17, 0, 0, 0, 0, 7, 2, 26
"e:\project\multi_outcome\frontend\src\components\AppMainPlot.vue", "Vue", 0, 58, 0, 0, 0, 0, 0, 5, 63
"e:\project\multi_outcome\frontend\src\components\AppNavbar.vue", "Vue", 0, 75, 0, 0, 0, 0, 2, 3, 80
"e:\project\multi_outcome\frontend\src\components\CausalAnalysisHistory.vue", "Vue", 0, 508, 0, 0, 0, 0, 12, 6, 526
"e:\project\multi_outcome\frontend\src\components\CausalGraphView.vue", "Vue", 0, 150, 0, 0, 0, 0, 16, 15, 181
"e:\project\multi_outcome\frontend\src\components\DirectedGraphView.vue", "Vue", 0, 299, 0, 0, 0, 0, 0, 13, 312
"e:\project\multi_outcome\frontend\src\components\ForceDirectedGraphView copy.vue", "Vue", 0, 141, 0, 0, 0, 0, 36, 19, 196
"e:\project\multi_outcome\frontend\src\components\MultiOutcomesView.vue", "Vue", 0, 145, 0, 0, 0, 0, 15, 15, 175
"e:\project\multi_outcome\frontend\src\components\OutcomeSelector.vue", "Vue", 0, 368, 0, 0, 0, 0, 12, 8, 388
